-88.08457946777344	(8, 12, 2)	[-0.01407172728569206, 0.3353993188616833, -0.21762155911593473, 0.39530540704511385, -0.7853283216958689, -0.16620706299701937, -0.1503340877865773, -0.9440586822715071, -0.08583544015695921, 0.12841816826804564, -0.977960712007611, -0.3944768602537583, 0.29021797553334117, 0.786441946881882, 0.2397529251050856, -0.9147364063842844, 0.8141168706823418, 0.9255930504099059, -0.06418578501903749, 0.44613053587600837, -0.446191921694278, 0.9635073715197224, -0.28450467436554483, 0.7116791436228478, 0.006411242645682824, -0.30233183648361983, 0.4124492336072869, -0.2187513483607002, -0.8744684580788482, 0.31183849500719774, -0.2962659946689996, 0.43841821794432034, -0.3214178463893871, 0.430364666263221, 0.5733937343960895, -0.4433197113132339, 0.5252151736385218, -0.3941402297693948, -0.21214254098817564, 0.8323200470108612, 0.2902680111489393, -0.2469545310354977, -0.05649537435409746, 0.31794362038932045, 0.1520779089406159, 0.8548244909492166, 0.5507959970668717, 0.05086781470814361, -0.7411560610269203, -0.3518467755786763, 0.9103891936052548, -0.3038095595763144, 0.23495004817673948, -0.19245229560777588, -0.9101417358290875, 0.7040623684656246, -0.6816406513496591, -0.806919117789552, -0.787559129306169, 0.8684678178924661, -0.04717398697645403, 0.5198185627391123, 0.9626567925772564, 0.6171109664033094, 0.46529410474903776, -0.5267656280781061, 0.7995886188858063, -0.6520040820812709, 0.7849457023156203, 0.5116277482110221, -0.15988768752849403, -0.8712601950477565, 0.22380724922543527, -0.7710524344828984, 0.6936037056138358, -0.8542366111050779, 0.5267038997161702, 0.21306660221955243, 0.6813587103703536, 0.8471016909788136, -0.35768157083301255, 0.39745145215853483, -0.24474210838650712, 0.9777417277901734, 0.1475593232582244, -0.6005311430138656, -0.4950101153388171, -0.12497029187010211, -0.42782133481656714, -0.5976145156897024, -0.6758208359172493, 0.6276754815657353, 0.6173444359005125, -0.6154083745774881, 0.16421589291457894, 0.2582313263391305, 0.33731649959394505, -0.5929207796865823, 0.6200176945412543, 0.7865820229833764, -0.28087799587271123, -0.18394525992430721, 0.09316168523566648, -0.8560697683585985, -0.6293912875300467, 0.45995423134779334, 0.8219770003599451, 0.28446475458375353, -0.007649061230765364, 0.6648058177154477, 0.140740138703223, -0.052534259843077136, -0.2957878953742208, 0.23695772736900667, 0.1173946239564061, -0.7242529272795337, -0.8656906420159629, -0.14497650227739367, -0.2477635461989507, -0.8582647656030593]
-66.69225311279297	(8, 12, 2)	[-0.48189049996014943, -0.48510985052409517, 0.10357170272249583, 0.04267173023088078, 0.5140926485610828, -0.6799453195419649, -0.9442175494086842, 0.5931973984827494, -0.845041714505286, -0.11237463186409236, 0.5483155742875052, 0.4530184927991907, -0.3484219078665094, -0.2572812761494838, 0.6453858864458837, -0.16806065929840264, 0.253979064635923, -0.2910533081917015, -0.7138410355941267, 0.3019248387417648, 0.5763289237065157, -0.33002842999847504, 0.4737173915686219, -0.0937056788954096, -0.05862993087650037, 0.9470024003693913, 0.9780001577972444, 0.1311944531596767, 0.7886777957907232, 0.860617028922785, 0.8237453191165243, 0.1910978292500658, -0.29932572991845596, 0.6160684274599815, 0.5695785256487016, 0.5617475024170191, 0.34486760407643735, 0.4287019577274578, -0.3118945071110155, -0.5702625605636882, 0.6614535388750769, 0.16473809171550347, 0.6456854459427224, -0.27746493437424924, 0.9956417031468761, -0.8431100553992488, 0.6568752588637612, 0.8710357396650228, -0.5508379851966743, 0.006991773811175772, -0.04749385692500474, 0.09646606048868955, -0.16383976431239589, 0.46609132172528445, 0.17647891579521358, 0.05551279780574947, -0.21043504965283288, -0.4726125808908974, 0.04889614165329914, -0.11796517197878131, -0.4616345585134092, 0.8620712153288725, -0.020917866651461337, 0.946544966353809, -0.5138533145337412, 0.5767782312388212, -0.27607008470757766, -0.08835765250300809, 0.49637655872697906, 0.40904936959125804, 0.7265433151891991, 0.4655966603399595, 0.7604535581160456, -0.053288876524457685, -0.2960307812622618, 0.011286885685380721, 0.8292710239037422, 0.9036435055548855, 0.21043716714307403, -0.1827602817068077, -0.7582671438219255, 0.1386845086190267, 0.6535678354910757, -0.6933909786083965, 0.07523179419255133, 0.5528965429852266, -0.3934798345866608, 0.16951067247841722, 0.582407402140936, -0.7157203885347769, 0.17924848827357542, -0.90269790683954, -0.8369880853816452, -0.15795481942555423, 0.9664955012261653, 0.6382501384565282, -0.022412687508974294, 0.5452899515346319, -0.30270211297922534, 0.7528113939474395, -0.9689754967872659, 0.14611818357857875, 0.13152795214018842, 0.10915755795511406, 0.5626986977056507, -0.08331071738398815, -0.7472040970704139, 0.2114194204331874, 0.5239024629968745, -0.3117697113051648, 0.9798669676931904, -0.7352444899842578, 0.7337599773602139, 0.8372460065501053, -0.3495674269003426, -0.2912644575915786, 0.32900462483748005, 0.11388156177751574, -0.5343554332815943, -0.7619407126783091]
-45.731468200683594	(8, 12, 2)	[0.23636852541949582, -0.7980191143491027, 0.5022083627594405, 0.07126696229183338, -0.3122616428450711, 0.21933110690140323, -0.23391305424589426, -0.44315724001955736, 0.2179243039048704, 0.8977982163559324, -0.44917171593049243, -0.7122946587466525, 0.94401772948003, 0.3873225063341841, -0.9224349350364098, -0.7277602445848639, -0.3370118485314586, -0.9992927748729217, 0.49149963967827226, 0.11151475709855796, -0.376789298523146, -0.9595342228134562, 0.2262345342931884, 0.686709947292915, -0.43930669363071684, -0.17924894183422224, 0.39236568934994964, 0.6448825025596163, 0.6516761071355821, 0.6139765527316194, 0.9484388492066209, -0.11377877333714226, 0.5726256990349741, -0.46116003798247274, -0.16645454458923448, 0.2911096228552885, -0.6241286182147772, -0.8589367236747585, 0.9267146877802921, -0.4475642570787619, 0.7852770000910838, 0.7343779411004514, 0.47930996993079367, 0.888682211523016, -0.6820551147219991, -0.11323728945242717, 0.013590550473110863, 0.5211691905181026, -0.9784619266278058, -0.7654159736540873, -0.3776788186395026, -0.7947755788019595, 0.2570914715296997, 0.67395335521739, 0.3208428686599729, -0.40235556926965166, -0.7502710142543991, 0.4858234615629269, -0.09126513967399896, 0.6470125833782323, 0.010252749874327671, 0.8210123288632454, -0.7522542822186, -0.4557944245712773, 0.9759188151504341, -0.2369965786043191, 0.782233495346492, -0.7743248548075805, -0.06694863101973292, -0.3004801967106909, -0.6729727709642983, 0.7889838406243908, 0.4979222689698666, 0.37770107523190855, -0.5507331710630758, -0.7938996689234235, -0.674185188802759, 0.20663213669858016, 0.9298352184045102, -0.274901237468532, 0.29475978352296406, 0.32982122144895487, -0.4618328414620858, -0.18098560700891575, -0.9598952850009512, 0.2761198148904753, 0.7303344871095654, -0.4395928704392167, 0.8230308761047436, -0.4482687278876998, -0.49665839016042024, -0.9830725457702574, -0.49521911727869705, 0.6101711383909727, -0.38908060323088645, -0.8338132796745583, -0.7977380348280727, 0.611982978665065, -0.24704909545799847, -0.010047834792910049, 0.1821688776279542, 0.3312569747232521, -0.7920690924331169, 0.6486216429413272, 0.4170581771114761, 0.12134152064681958, 0.6748240525367868, -0.2483553199972537, 0.6865679001715543, 0.8504861841731821, -0.23482555088250012, 0.1253758168349211, -0.4030481474934051, -0.7837909388283131, 0.9081429555800069, 0.9767219316435343, -0.7650532727430821, 0.5280613487752424, -0.27859834462222377, 0.42218755114358353]
-17.975875854492188	(8, 12, 2)	[-0.09689016806943695, -0.5236648109582687, -0.4278142919022552, 0.22896903142583902, -0.16802069947700948, 0.34930593317732983, 0.025293946106353715, -0.4894831661690717, 0.7945749438629184, -0.20498942989739044, 0.021649738974321764, -0.022756313756410185, 0.21731052817125396, 0.39291082408584077, -0.6284926014144687, 0.4775919969774314, 0.918321185889653, 0.9856582497063231, 0.49149963967827226, 0.6262528205128652, 0.26190542737482403, 0.2888687162595649, 0.39494284489267506, 0.6026632924667055, -0.10005612890505611, -0.08905845963559722, 0.4707057375647361, -0.3638845614677988, -0.4560882563350912, 0.9276581788298797, 0.010876039461340747, -0.11377877333714226, 0.627645346809804, 0.05336519821822372, -0.16170536837399996, -0.022600976120628724, -0.2699062613617015, 0.5252112638736994, 0.6479388685102814, -0.6223534960149801, -0.45029416345293205, 0.5707156215937284, 0.6368537190813393, -0.6847692458689676, -0.6820551147219991, 0.7838064265844074, 0.3937559664741528, 0.658921579919326, 0.2156745429914999, 0.550226055727991, 0.6465656159951332, -0.5035624210774898, -0.2187277069135123, 0.06898116151144862, 0.7397254130728763, -0.7827232878082788, -0.28375729640491065, -0.09692934693391186, -0.20405956061171016, 0.9391492110848929, 0.07083444059575772, -0.5094911645902305, -0.07591350224752214, 0.5720963981465541, 0.39263341453432443, -0.6266157895475815, -0.8741009828144817, 0.7435874015389248, 0.17376049684485362, 0.8948974239769649, 0.15870915155021903, 0.23567636385206114, 0.34793742122622606, 0.19178888384527437, -0.42986124713047613, -0.7215300681464478, -0.6287239163973801, -0.8144457179698137, 0.5098862873367414, 0.07290603843947041, -0.7360914960759593, -0.21839958279324012, 0.6587123544348359, -0.3369002174954465, -0.8381342231756349, 0.7367239838307147, -0.8473746298209435, 0.3746728214607702, 0.8230308761047436, -0.8095496723713145, 0.20228390098906757, 0.5713820965825946, -0.6543855763384216, 0.34560918451150635, 0.7340951808675569, 0.4940282468595356, 0.5035973929645676, -0.15238639868076187, -0.26968692046035125, 0.6151316649740952, 0.5229471749597139, -0.36674832441620286, 0.10137733040796104, -0.8780418621343145, 0.973793684870867, -0.7953757940627997, -0.93062182269166, -0.3661124709543204, -0.31230596977555436, 0.40063307944893034, 0.2946842401291807, 0.21810020927603357, -0.4030481474934051, 0.7429287755596684, 0.9005081577307652, 0.9767219316435343, 0.4554877980292098, 0.5482705808753865, 0.8395395034827693, -0.991411388365177]
-45.73419952392578	(8, 12, 2)	[0.670239653269112, -0.7980191143491027, 0.5398556563485375, -0.9565000617651835, 0.5326152088944831, 0.5778568490652816, 0.1519304021373158, -0.13006304605372465, 0.3234901252583162, 0.6681928223906266, 0.6180874392786022, -0.25357044337776435, 0.21731052817125396, 0.3873225063341841, -0.8895630863610865, 0.6607271494085616, 0.9093211899588536, -0.34507790400749383, 0.8017310489250185, -0.6362316962598007, 0.7940627242988452, -0.9994254562907532, -0.6851104782992183, -0.19849974523371383, -0.09305970971981647, 0.02440870056129585, 0.8942603404882459, 0.3809945297250614, 0.7977592638788615, 0.47385108029279, -0.6030757136420328, -0.11377877333714226, -0.4310124259272412, -0.07012734536901788, -0.8074028465535912, -0.7232029307931376, 0.9265753301309776, -0.05509685530270869, 0.748233890104474, -0.6109496138280779, 0.6289988327719169, -0.6693158379109543, -0.7393423184456713, -0.3750005571091308, -0.7870700872148468, -0.3129076579953245, -0.8392494591386073, -0.7287003579658804, -0.03939085915491586, -0.8196662109474184, -0.913123433327037, 0.6262946992127485, 0.14978775754781792, 0.38838372294260015, 0.5791111703019092, -0.28028304162652873, -0.058398611101075026, 0.3735728769607438, 0.9224774506032287, 0.6470125833782323, -0.8771644736930722, 0.17365303429995893, 0.29992136858836327, -0.2906378006876642, 0.9807296587788046, 0.6177915593591343, 0.6595231663056451, -0.1827065906255696, 0.5465208787785742, 0.41107235057816083, -0.10279705203550682, -0.9894976033887641, -0.1508151203850081, -0.21229927936024717, 0.9026182884608873, -0.4505677412505582, -0.776901191416062, 0.6421493789850603, -0.791454408625608, -0.502003756502891, 0.5356878524297115, 0.7099538525358571, -0.4618328414620858, 0.5877982172788763, -0.08577276672710266, -0.8776370794146586, 0.5099438012196669, -0.002001319272633806, -0.7238401994116652, -0.2565919217831638, -0.17024725938959873, -0.6916994029639034, -0.5944668824234534, 0.6101711383909727, -0.38908060323088645, -0.6880088630476822, 0.2854806225803279, 0.6425500285722621, 0.758154823257841, -0.8646413541823079, -0.10681024516956139, -0.6729142457512598, 0.5109678628970833, 0.6684649900560162, -0.6647992064950627, -0.7953757940627997, -0.015319244591575965, 0.9620788451031206, 0.5048557061323411, 0.7375376712491069, 0.9291405027490349, -0.9894187330548561, 0.827153867597197, -0.43946675363362586, -0.8723258922057802, -0.027721231373887933, 0.9198421041696507, -0.6836548432690615, -0.8399205266083947, 0.6270177311121763]
-93.60543823242188	(8, 12, 2)	[0.08198890158265382, 0.3353993188616833, -0.2964823946563506, 0.9164766729691074, 0.1312171841019747, 0.1949451276281926, -0.12740410928283818, -0.44315724001955736, 0.3234901252583162, -0.4330907471887191, -0.021472069304616315, -0.10159327676108654, -0.11557978953149695, -0.3159617042039966, 0.5063521012202647, 0.08015250188886514, 0.8141168706823418, -0.16179784414730602, 0.49149963967827226, 0.10982515166499485, -0.376789298523146, -0.7594336471221685, -0.2906152470022767, -0.5808304929929853, -0.221724065795307, -0.5655283812829057, -0.5094266112194874, -0.4914239310113371, -0.7774440153670603, -0.24179227162372086, 0.23302474833454534, 0.21370964229749378, -0.19640426950316092, -0.3203555162922944, -0.16170536837399996, 0.7798309566091091, -0.6241286182147772, -0.8589367236747585, 0.5221132370908483, -0.3478409709490078, 0.9998156570184185, -0.2469545310354977, -0.7393423184456713, -0.9130359850010821, 0.44903668040776523, -0.11323728945242717, -0.23442277929067967, -0.7592833498016631, 0.2156745429914999, -0.10134269835179466, -0.3776788186395026, -0.34941860763046395, -0.5627544560177993, 0.06898116151144862, 0.3208428686599729, 0.7040623684656246, -0.6816406513496591, 0.8258597569683359, 0.49585130391057164, -0.8135169867959073, -0.7913736451434266, 0.6327787561971434, -0.10053531433917251, -0.2906378006876642, 0.6334571702328771, 0.26732359511637704, -0.8610179288484856, -0.7743248548075805, 0.39863429217235224, -0.5339211480154764, -0.6729727709642983, 0.16299401927685161, -0.6360313370434383, -0.05727708316072788, 0.7157167681598025, 0.5301622798417003, -0.6287239163973801, -0.6507723046819645, 0.6813587103703536, -0.274901237468532, -0.35768157083301255, 0.8045465778055123, 0.623785720199491, 0.6901832172215818, -0.44887891424002246, -0.8776370794146586, 0.9358230254406783, -0.4395928704392167, -0.6006669218113816, -0.4464755942782397, 0.9907264424505855, 0.1098227125966571, -0.7923759208673546, -0.3866938266508111, 0.7340951808675569, -0.8338132796745583, 0.22489678670021096, -0.8720599141034093, -0.24704909545799847, 0.6151316649740952, 0.8670136320860788, -0.004889216958330778, 0.32737765896906934, 0.6486216429413272, -0.6647992064950627, 0.12134152064681958, -0.015319244591575965, 0.17031833292073295, 0.020656843204964526, -0.14109275733604743, -0.7511188782660116, -0.6363202856846164, 0.05190217361512284, 0.6199695296562298, 0.9005081577307652, -0.7206994634110664, -0.8917036574224317, -0.10235875275725004, -0.13607513590380305, -0.36500757831612174]
977.4035034179688	(8, 12, 2)	[0.08198890158265382, 0.22114556101570884, 0.6448346024535485, 0.04267173023088078, 0.1312171841019747, 0.21933110690140323, 0.20885902539359047, 0.5931973984827494, 0.2179243039048704, -0.20498942989739044, -0.44917171593049243, 0.6579631653490623, 0.20384293711922652, 0.6893966352858034, -0.9102448981372535, 0.2710032841172705, -0.7204459749855578, -0.34507790400749383, 0.49149963967827226, -0.6362316962598007, -0.376789298523146, -0.7594336471221685, -0.6851104782992183, -0.5808304929929853, 0.5593457579528345, 0.6402679128599924, -0.5403724256424405, -0.4914239310113371, -0.12104917454159936, 0.335924976743599, 0.23302474833454534, 0.05491957692296534, -0.29932572991845596, -0.5445741264504694, -0.33370577113972, -0.9534735032922543, -0.6241286182147772, 0.2823580724088943, 0.5221132370908483, 0.19890854307753386, 0.7852770000910838, 0.7343779411004514, -0.9267752985467237, 0.888682211523016, 0.2853983276596628, -0.3129076579953245, -0.6203828756778409, 0.6650216558168391, 0.6058844851447147, -0.2592450995024398, -0.3776788186395026, 0.6262946992127485, -0.4014110368069732, 0.38838372294260015, 0.3989299424923016, -0.40235556926965166, 0.539934385467667, -0.3515644184062736, 0.9224774506032287, -0.9386858032381882, -0.8771644736930722, -0.7322337887507973, -0.7838025006847869, 0.955985708801846, -0.7048916401171126, 0.26732359511637704, 0.9163456764117919, 0.6956163145900045, 0.39863429217235224, -0.36853861194214277, -0.49869160654375233, -0.17922637832568622, -0.9805536165711501, 0.37770107523190855, 0.669926198564762, -0.4505677412505582, 0.6737066345266496, -0.6483723899897402, 0.9298352184045102, -0.502003756502891, -0.43782996241960404, -0.25885824756388764, 0.4913305500679914, 0.5877982172788763, 0.7573545483823207, 0.780804172157523, 0.9358230254406783, -0.4395928704392167, -0.2615985340695063, -0.7157203885347769, 0.6268560968000847, 0.2509214847793064, 0.042902429426168176, 0.6101711383909727, 0.7340951808675569, 0.4940282468595356, -0.007190141827707386, 0.6425500285722621, -0.30270211297922534, -0.8646413541823079, 0.8670136320860788, 0.04466908859888519, -0.7920690924331169, -0.8266742038886512, 0.08446750241178469, -0.512273121618088, 0.1011524291936361, 0.5263254065825484, -0.1774076363436874, -0.14109275733604743, 0.7019056726249182, 0.968789365355109, 0.827153867597197, 0.47034421762093603, 0.9005081577307652, -0.7206994634110664, 0.11295816300543016, -0.2968881963717377, -0.13607513590380305, -0.030569005417182535]
-98.16346740722656	(8, 12, 2)	[0.7847475953618654, -0.8328174331525282, -0.4278142919022552, -0.23034797709987243, -0.3122616428450711, 0.6108596452670596, -0.26934958099786266, -0.13006304605372465, 0.3234901252583162, 0.6681928223906266, 0.021649738974321764, -0.25357044337776435, 0.9830853817574118, 0.6893966352858034, 0.2091465146456657, 0.08110409443687838, 0.25521586181180456, -0.34507790400749383, 0.8017310489250185, -0.10214407393331926, 0.7937285604873905, -0.3810642068744208, -0.2906152470022767, -0.4578441197726304, 0.7375047032899371, -0.5655283812829057, 0.37628256946543215, 0.3346328366267626, 0.6304318813077237, 0.6139765527316194, -0.954503769697596, -0.11377877333714226, 0.32358507625093624, -0.07012734536901788, -0.16645454458923448, -0.022600976120628724, 0.9265753301309776, -0.9382785887139904, 0.748233890104474, -0.6109496138280779, 0.6289988327719169, 0.16600988665283145, -0.8013327339026441, -0.18573074778559673, 0.34699971555313414, -0.3129076579953245, -0.23442277929067967, 0.6650216558168391, -0.5049759229924489, -0.8196662109474184, -0.3776788186395026, -0.34941860763046395, -0.5627544560177993, 0.6046003920156275, 0.3208428686599729, -0.7827232878082788, 0.539934385467667, 0.48278808456449007, 0.9224774506032287, 0.6470125833782323, -0.8771644736930722, 0.6327787561971434, 0.504267477944562, -0.2906378006876642, 0.6334571702328771, 0.6177915593591343, -0.9151681679818044, 0.7409615438369257, 0.5465208787785742, -0.5339211480154764, 0.9108913742467204, 0.0330084344096766, -0.1508151203850081, -0.3328607307384486, 0.9026182884608873, -0.7215300681464478, -0.5867606876264533, -0.296173835465638, -0.791454408625608, 0.10941490011738098, -0.43782996241960404, 0.22626855848778504, -0.4618328414620858, 0.7084872989911357, -0.08577276672710266, 0.3662146170475371, -0.2094732078247421, -0.002001319272633806, 0.6148236064946757, -0.2565919217831638, -0.17024725938959873, -0.7128463195074799, 0.042902429426168176, -0.5790198114413295, -0.38908060323088645, 0.4940282468595356, 0.22489678670021096, -0.7015647843496726, -0.5961359905816848, 0.6151316649740952, -0.7476883255460516, 0.352469107399892, 0.10565835578645787, 0.6789754432439474, -0.6647992064950627, -0.5542412582504712, -0.015319244591575965, 0.32471090505250455, -0.3368359054849017, 0.06504166474433704, -0.5142829678208285, 0.21810020927603357, 0.827153867597197, -0.7093431283284926, 0.9005081577307652, -0.7206994634110664, 0.4491694246144038, -0.9113286234095836, 0.8342242413468348, 0.9371476756257469]
-58.791717529296875	(8, 12, 2)	[-0.07542949669214283, -0.8208107037465295, 0.6448346024535485, 0.04267173023088078, 0.291833059318809, -0.3585232742946609, 0.20885902539359047, 0.4390945990081774, 0.3234901252583162, -0.20498942989739044, 0.2324419889090068, 0.6579631653490623, 0.20384293711922652, 0.6893966352858034, -0.7986321669825598, 0.2710032841172705, -0.7204459749855578, -0.16179784414730602, 0.6409063602609948, -0.6362316962598007, -0.7752565184297915, -0.7594336471221685, -0.6851104782992183, 0.8534593902182142, 0.5593457579528345, -0.6955604048547922, 0.8942603404882459, 0.3809945297250614, -0.12104917454159936, 0.335924976743599, -0.6030757136420328, 0.05491957692296534, 0.32358507625093624, -0.24174756887172744, -0.16170536837399996, -0.9534735032922543, 0.9265753301309776, -0.8589367236747585, 0.5221132370908483, -0.6109496138280779, -0.6950085501484786, 0.7343779411004514, -0.5010664272138652, 0.888682211523016, 0.1520779089406159, -0.3129076579953245, -0.0988820650678317, 0.6650216558168391, 0.2156745429914999, 0.758665182719712, 0.46762909489145854, -0.822253121297448, -0.8575685251918483, 0.10167801400533993, 0.3989299424923016, -0.28028304162652873, -0.6677979439356423, 0.5149465700933449, 0.9224774506032287, 0.6470125833782323, -0.8771644736930722, 0.6327787561971434, -0.7838025006847869, -0.8967602304172535, -0.7048916401171126, 0.11677835508696086, 0.004170400188140633, 0.6956163145900045, -0.9439905904096493, -0.36853861194214277, 0.8317816024846709, 0.26270540531254327, 0.421507918987599, -0.21229927936024717, 0.7157167681598025, 0.5301622798417003, -0.6627884868341847, -0.6507723046819645, 0.9298352184045102, -0.42379684392153893, -0.43782996241960404, -0.25885824756388764, -0.15287690513327368, 0.5877982172788763, -0.9598952850009512, 0.780804172157523, 0.9358230254406783, -0.31430400931728397, -0.2615985340695063, -0.4464755942782397, -0.17024725938959873, 0.2509214847793064, -0.7923759208673546, -0.9726768332278504, 0.7340951808675569, -0.5023537542482361, -0.007190141827707386, -0.8720599141034093, -0.30270211297922534, 0.6151316649740952, 0.8670136320860788, -0.830512441261164, 0.32737765896906934, -0.4035954930117225, -0.16268073693902418, -0.17154982126992468, -0.015319244591575965, 0.08270765370202993, 0.6865679001715543, 0.9909448196558568, 0.7019056726249182, -0.9894187330548561, 0.05190217361512284, 0.47034421762093603, 0.9005081577307652, 0.9767219316435343, 0.11295816300543016, -0.31420406249945754, -0.13607513590380305, -0.030569005417182535]
14.44671630859375	(8, 12, 2)	[0.08198890158265382, -0.8208107037465295, 0.22793118143342772, 0.04267173023088078, -0.08794269124295617, 0.1949451276281926, 0.20885902539359047, -0.1485916581265856, -0.7014377137204093, 0.38687308343289106, 0.021649738974321764, 0.6579631653490623, -0.11557978953149695, 0.6893966352858034, -0.9102448981372535, 0.2710032841172705, 0.918321185889653, -0.34507790400749383, 0.5248949674659309, -0.6362316962598007, -0.4662747739910409, 0.8471225014611063, -0.1796972685772873, -0.3146574508793363, 0.7375047032899371, 0.6402679128599924, -0.5403724256424405, 0.17216033041939705, 0.7378000501983972, 0.335924976743599, -0.1048568277066042, -0.11377877333714226, -0.19640426950316092, -0.5923972942467897, 0.7487059237166445, -1.0, 0.9265753301309776, 0.2823580724088943, 0.9267146877802921, 0.19890854307753386, 0.6289988327719169, 0.16600988665283145, -0.9267752985467237, -0.27746493437424924, 0.2853983276596628, -0.3129076579953245, 0.545907818297798, 0.6650216558168391, -0.5049759229924489, -0.10134269835179466, 0.5776054214179305, -0.22270970552604163, -0.4014110368069732, 0.38838372294260015, -0.8896190732533301, -0.23752700760188983, 0.13903002384212826, -0.3515644184062736, -0.08316086172102422, -0.7167337483585716, -0.8835920579542781, -0.7322337887507973, -0.6618415180912616, 0.946544966353809, -0.8648914786774928, 0.26732359511637704, 0.988396066730951, 0.6956163145900045, -0.5401397228216918, -0.3004801967106909, -0.08800502994576509, -0.17922637832568622, -0.9805536165711501, -0.4862839919091173, 0.3090922416063948, -0.7215300681464478, 0.9269493756618006, -0.296173835465638, 0.9298352184045102, -0.42379684392153893, 0.29475978352296406, -0.9182217419067633, 0.6587123544348359, 0.5877982172788763, -0.9717322249185393, 0.982040202237066, -0.781891979992309, -0.6011714975437661, -0.2615985340695063, 0.29474310835004824, 0.867883709396776, -0.7128463195074799, -0.7923759208673546, -0.5790198114413295, -0.8958023541961195, 0.4940282468595356, -0.7977380348280727, -0.3113004518733582, -0.545144045094649, -0.30258160145583735, 0.17734137633614377, 0.39862288459010675, -0.46589344050822823, -0.341430523258907, 0.9517952447363236, -0.3636812106199907, -0.015319244591575965, 0.09671286809672108, -0.1774076363436874, 0.06504166474433704, 0.7019056726249182, -0.6363202856846164, -0.043269040085288424, -0.7837909388283131, 0.40355883709213236, 0.34669526212928137, 0.8544450521068132, -0.2968881963717377, -0.13607513590380305, 0.08153589118365412]
